894701,Bulawayo,Bulawayo,-20.15,28.58333,PPLA,ZW,699385,Africa/Harare
890299,Harare,Harare,-17.82772,31.05337,PPLC,ZW,1542813,Africa/Harare
900056,Nyimba,Nyimba,-14.55656,30.8149,PPL,ZM,1336,Africa/Lusaka
917011,Gwembe,Gwembe,-16.49755,27.60691,PPL,ZM,2052,Africa/Lusaka
176758,Kaputa,Kaputa,-8.46887,29.66193,PPL,ZM,2683,Africa/Lusaka
909887,Luangwa,Luangwa,-15.61667,30.41667,PPL,ZM,3065,Africa/Lusaka
909488,Lukulu,Lukulu,-14.37067,23.24196,PPL,ZM,3349,Africa/Lusaka
175967,Mporokoso,Mporokoso,-9.37273,30.12501,PPL,ZM,3401,Africa/Lusaka
921028,Chadiza,Chadiza,-14.06779,32.43917,PPL,ZM,3690,Africa/Lusaka
920901,Chama,Chama,-11.21303,33.1521,PPL,ZM,4061,Africa/Lusaka
902721,Mwense,Mwense,-10.38447,28.698,PPL,ZM,4378,Africa/Lusaka
901766,Namwala,Namwala,-15.75042,26.43839,PPL,ZM,4450,Africa/Lusaka
920233,Chibombo,Chibombo,-14.65685,28.07057,PPL,ZM,4477,Africa/Lusaka
897045,Solwezi,Solwezi,-12.1688,26.38938,PPLA,ZM,4846,Africa/Lusaka
912628,Kasempa,Kasempa,-13.45836,25.8338,PPL,ZM,5622,Africa/Lusaka
917688,Chongwe,Chongwe,-15.32916,28.68204,PPL,ZM,6057,Africa/Lusaka
905382,Mufumbwe,Mufumbwe,-13.68333,24.8,PPL,ZM,6155,Africa/Lusaka
908913,Luwingu,Luwingu,-10.2621,29.92712,PPL,ZM,6161,Africa/Lusaka
916246,Kabompo,Kabompo,-13.59268,24.20081,PPL,ZM,6592,Africa/Lusaka
904241,Mungwi,Mungwi,-10.1732,31.36942,PPL,ZM,6821,Africa/Lusaka
895953,Zambezi,Zambezi,-13.54323,23.10467,PPL,ZM,7074,Africa/Lusaka
910361,Limulunga,Limulunga,-15.09691,23.13757,PPL,ZM,7461,Africa/Lusaka
915285,Kalengwa,Kalengwa,-13.46586,25.00271,PPL,ZM,7574,Africa/Lusaka
915471,Kalabo,Kalabo,-14.97005,22.68138,PPL,ZM,7731,Africa/Lusaka
175961,Mpulungu,Mpulungu,-8.76234,31.11405,PPL,ZM,8547,Africa/Lusaka
898912,Serenje,Serenje,-13.23251,30.23522,PPL,ZM,8779,Africa/Lusaka
905789,Mpongwe,Mpongwe,-13.50914,28.15504,PPL,ZM,8997,Africa/Lusaka
898947,Senanga,Senanga,-16.11667,23.26667,PPL,ZM,10005,Africa/Lusaka
902344,Nakambala,Nakambala,-15.83244,27.77994,PPL,ZM,10425,Africa/Lusaka
175555,Nakonde,Nakonde,-9.34213,32.745,PPL,ZM,10652,Africa/Lusaka
920820,Chambishi,Chambishi,-12.63247,28.05367,PPL,ZM,11073,Africa/Lusaka
897456,Sinazongwe,Sinazongwe,-17.2614,27.46179,PPL,ZM,11528,Africa/Lusaka
909299,Lundazi,Lundazi,-12.29292,33.1782,PPL,ZM,11635,Africa/Lusaka
908718,Maamba,Maamba,-17.36667,27.15,PPL,ZM,12251,Africa/Lusaka
906221,Mkushi,Mkushi,-13.62015,29.3939,PPL,ZM,12306,Africa/Lusaka
916668,Isoka,Isoka,-10.16062,32.63353,PPL,ZM,13122,Africa/Lusaka
902620,Mwinilunga,Mwinilunga,-11.73584,24.42926,PPL,ZM,13798,Africa/Lusaka
